SOC Code 2018,Occupation
,Reinforcing Iron and Rebar Workers
47-2171,Reinforcing Iron and Rebar Workers
,Roofers
47-2181,Roofers
,Sheet Metal Workers
47-2211,Sheet Metal Workers
,Structural Iron and Steel Workers
47-2221,Structural Iron and Steel Workers
,Solar Photovoltaic Installers
47-2231,Solar Photovoltaic Installers
,"Helpers, Construction Trades"
,"Helpers, Construction Trades"
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
47-3012,Helpers--Carpenters
47-3013,Helpers--Electricians
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
47-3016,Helpers--Roofers
47-3019,"Helpers, Construction Trades, All Other"
,Other Construction and Related Workers
,Construction and Building Inspectors
47-4011,Construction and Building Inspectors
,Elevator and Escalator Installers and Repairers
47-4021,Elevator and Escalator Installers and Repairers
,Fence Erectors
47-4031,Fence Erectors
,Hazardous Materials Removal Workers
47-4041,Hazardous Materials Removal Workers
,Highway Maintenance Workers
47-4051,Highway Maintenance Workers
,Rail-Track Laying and Maintenance Equipment Operators
47-4061,Rail-Track Laying and Maintenance Equipment Operators
,Septic Tank Servicers and Sewer Pipe Cleaners
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners
,Miscellaneous Construction and Related Workers
47-4091,Segmental Pavers
47-4099,"Construction and Related Workers, All Other"
,Extraction Workers
,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas"
47-5011,"Derrick Operators, Oil and Gas"
47-5012,"Rotary Drill Operators, Oil and Gas"
47-5013,"Service Unit Operators, Oil and Gas"
,Surface Mining Machine Operators and Earth Drillers
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
47-5023,"Earth Drillers, Except Oil and Gas"
,"Explosives Workers, Ordnance Handling Experts, and Blasters"
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters"
,Underground Mining Machine Operators
47-5041,Continuous Mining Machine Operators
47-5043,"Roof Bolters, Mining"
47-5044,"Loading and Moving Machine Operators, Underground Mining"
47-5049,"Underground Mining Machine Operators, All Other"
,"Rock Splitters, Quarry"
47-5051,"Rock Splitters, Quarry"
,"Roustabouts, Oil and Gas"
47-5071,"Roustabouts, Oil and Gas"
,Helpers--Extraction Workers
47-5081,Helpers--Extraction Workers
,Miscellaneous Extraction Workers
47-5099,"Extraction Workers, All Other"
,"Installation, Maintenance, and Repair Occupations"
,"Supervisors of Installation, Maintenance, and Repair Workers"
,"First-Line Supervisors of Mechanics, Installers, and Repairers"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
,"Computer, Automated Teller, and Office Machine Repairers"
49-2011,"Computer, Automated Teller, and Office Machine Repairers"
,Radio and Telecommunications Equipment Installers and Repairers
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers"
49-2091,Avionics Technicians
49-2092,"Electric Motor, Power Tool, and Related Repairers"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
49-2097,Audiovisual Equipment Installers and Repairers
49-2098,Security and Fire Alarm Systems Installers
,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
,Aircraft Mechanics and Service Technicians
49-3011,Aircraft Mechanics and Service Technicians
,Automotive Technicians and Repairers
49-3021,Automotive Body and Related Repairers
49-3022,Automotive Glass Installers and Repairers
49-3023,Automotive Service Technicians and Mechanics
,Bus and Truck Mechanics and Diesel Engine Specialists
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3041,Farm Equipment Mechanics and Service Technicians
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
49-3043,Rail Car Repairers
,Small Engine Mechanics
49-3051,Motorboat Mechanics and Service Technicians
49-3052,Motorcycle Mechanics
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics
,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
49-3091,Bicycle Repairers
49-3092,Recreational Vehicle Service Technicians
49-3093,Tire Repairers and Changers
,"Other Installation, Maintenance, and Repair Occupations"
,Control and Valve Installers and Repairers
49-9011,Mechanical Door Repairers
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
,Home Appliance Repairers
49-9031,Home Appliance Repairers
,"Industrial Machinery Installation, Repair, and Maintenance Workers"
49-9041,Industrial Machinery Mechanics
49-9043,"Maintenance Workers, Machinery"
49-9044,Millwrights
49-9045,"Refractory Materials Repairers, Except Brickmasons"
,Line Installers and Repairers
49-9051,Electrical Power-Line Installers and Repairers
49-9052,Telecommunications Line Installers and Repairers
,Precision Instrument and Equipment Repairers
49-9061,Camera and Photographic Equipment Repairers
49-9062,Medical Equipment Repairers
49-9063,Musical Instrument Repairers and Tuners
49-9064,Watch and Clock Repairers
49-9069,"Precision Instrument and Equipment Repairers, All Other"
,"Maintenance and Repair Workers, General"
49-9071,"Maintenance and Repair Workers, General"
,Wind Turbine Service Technicians
49-9081,Wind Turbine Service Technicians
,"Miscellaneous Installation, Maintenance, and Repair Workers"
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
49-9092,Commercial Divers
49-9094,Locksmiths and Safe Repairers
49-9095,Manufactured Building and Mobile Home Installers
49-9096,Riggers
49-9097,Signal and Track Switch Repairers
49-9098,"Helpers--Installation, Maintenance, and Repair Workers"
49-9099,"Installation, Maintenance, and Repair Workers, All Other"
,Production Occupations
,Supervisors of Production Workers
,First-Line Supervisors of Production and Operating Workers
51-1011,First-Line Supervisors of Production and Operating Workers
,Assemblers and Fabricators
,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
,"Electrical, Electronics, and Electromechanical Assemblers"
51-2021,"Coil Winders, Tapers, and Finishers"
51-2022,Electrical and Electronic Equipment Assemblers
51-2023,Electromechanical Equipment Assemblers
,Engine and Other Machine Assemblers
51-2031,Engine and Other Machine Assemblers
,Structural Metal Fabricators and Fitters
51-2041,Structural Metal Fabricators and Fitters
,Fiberglass Laminators and Fabricators
51-2051,Fiberglass Laminators and Fabricators
,Timing Device Assemblers and Adjusters
51-2061,Timing Device Assemblers and Adjusters
,Miscellaneous Assemblers and Fabricators
51-2092,Team Assemblers
51-2099,"Assemblers and Fabricators, All Other"
,Food Processing Workers
,Bakers
51-3011,Bakers
,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
51-3021,Butchers and Meat Cutters
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers"
51-3023,Slaughterers and Meat Packers
,Miscellaneous Food Processing Workers
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092,Food Batchmakers
51-3093,Food Cooking Machine Operators and Tenders
51-3099,"Food Processing Workers, All Other"
,Metal Workers and Plastic Workers
,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic"
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
,Machinists
51-4041,Machinists
,"Metal Furnace Operators, Tenders, Pourers, and Casters"
51-4051,Metal-Refining Furnace Operators and Tenders
51-4052,"Pourers and Casters, Metal"
,"Model Makers and Patternmakers, Metal and Plastic"
51-4061,"Model Makers, Metal and Plastic"
51-4062,"Patternmakers, Metal and Plastic"
,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4071,Foundry Mold and Coremakers
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
,Tool and Die Makers
51-4111,Tool and Die Makers
,"Welding, Soldering, and Brazing Workers"
51-4121,"Welders, Cutters, Solderers, and Brazers"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
,Miscellaneous Metal Workers and Plastic Workers
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51-4192,"Layout Workers, Metal and Plastic"
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4194,"Tool Grinders, Filers, and Sharpeners"
51-4199,"Metal Workers and Plastic Workers, All Other"
,Printing Workers
,Printing Workers
51-5111,Prepress Technicians and Workers
51-5112,Printing Press Operators
51-5113,Print Binding and Finishing Workers
,"Textile, Apparel, and Furnishings Workers"
,Laundry and Dry-Cleaning Workers
51-6011,Laundry and Dry-Cleaning Workers
,"Pressers, Textile, Garment, and Related Materials"
51-6021,"Pressers, Textile, Garment, and Related Materials"
,Sewing Machine Operators
51-6031,Sewing Machine Operators
,Shoe and Leather Workers
51-6041,Shoe and Leather Workers and Repairers
51-6042,Shoe Machine Operators and Tenders
,"Tailors, Dressmakers, and Sewers"
51-6051,"Sewers, Hand"
51-6052,"Tailors, Dressmakers, and Custom Sewers"
,"Textile Machine Setters, Operators, and Tenders"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
,"Miscellaneous Textile, Apparel, and Furnishings Workers"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51-6092,Fabric and Apparel Patternmakers
51-6093,Upholsterers
51-6099,"Textile, Apparel, and Furnishings Workers, All Other"
,Woodworkers
,Cabinetmakers and Bench Carpenters
51-7011,Cabinetmakers and Bench Carpenters
,Furniture Finishers
51-7021,Furniture Finishers
,"Model Makers and Patternmakers, Wood"
51-7031,"Model Makers, Wood"
51-7032,"Patternmakers, Wood"
,"Woodworking Machine Setters, Operators, and Tenders"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
,Miscellaneous Woodworkers
51-7099,"Woodworkers, All Other"
,Plant and System Operators
,"Power Plant Operators, Distributors, and Dispatchers"
51-8011,Nuclear Power Reactor Operators
51-8012,Power Distributors and Dispatchers
51-8013,Power Plant Operators
,Stationary Engineers and Boiler Operators
51-8021,Stationary Engineers and Boiler Operators
,Water and Wastewater Treatment Plant and System Operators
51-8031,Water and Wastewater Treatment Plant and System Operators
,Miscellaneous Plant and System Operators
51-8091,Chemical Plant and System Operators
51-8092,Gas Plant Operators
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51-8099,"Plant and System Operators, All Other"
,Other Production Occupations
,"Chemical Processing Machine Setters, Operators, and Tenders"
51-9011,Chemical Equipment Operators and Tenders
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51-9022,"Grinding and Polishing Workers, Hand"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
,Cutting Workers
51-9031,"Cutters and Trimmers, Hand"
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
,Jewelers and Precious Stone and Metal Workers
51-9071,Jewelers and Precious Stone and Metal Workers
,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
51-9081,Dental Laboratory Technicians
51-9082,Medical Appliance Technicians
51-9083,Ophthalmic Laboratory Technicians
,Packaging and Filling Machine Operators and Tenders
51-9111,Packaging and Filling Machine Operators and Tenders
,Painting Workers
51-9123,"Painting, Coating, and Decorating Workers"
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
,Semiconductor Processing Technicians
51-9141,Semiconductor Processing Technicians
,Photographic Process Workers and Processing Machine Operators
51-9151,Photographic Process Workers and Processing Machine Operators
,Computer Numerically Controlled Tool Operators and Programmers
51-9161,Computer Numerically Controlled Tool Operators
51-9162,Computer Numerically Controlled Tool Programmers
,Miscellaneous Production Workers
51-9191,Adhesive Bonding Machine Operators and Tenders
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51-9193,Cooling and Freezing Equipment Operators and Tenders
51-9194,Etchers and Engravers
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
51-9197,Tire Builders
51-9198,Helpers--Production Workers
51-9199,"Production Workers, All Other"
,Transportation and Material Moving Occupations
,Supervisors of Transportation and Material Moving Workers
,First-Line Supervisors of Transportation and Material Moving Workers
53-1041,Aircraft Cargo Handling Supervisors
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
53-1044,First-Line Supervisors of Passenger Attendants
53-1049,"First-Line Supervisors of Transportation Workers, All Other"
,Air Transportation Workers
,Aircraft Pilots and Flight Engineers
53-2011,"Airline Pilots, Copilots, and Flight Engineers"
53-2012,Commercial Pilots
,Air Traffic Controllers and Airfield Operations Specialists
53-2021,Air Traffic Controllers
53-2022,Airfield Operations Specialists
,Flight Attendants
53-2031,Flight Attendants
,Motor Vehicle Operators
,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
,Driver/Sales Workers and Truck Drivers
53-3031,Driver/Sales Workers
53-3032,Heavy and Tractor-Trailer Truck Drivers
53-3033,Light Truck Drivers
,Passenger Vehicle Drivers
53-3051,"Bus Drivers, School"
53-3052,"Bus Drivers, Transit and Intercity"
53-3053,Shuttle Drivers and Chauffeurs
53-3054,Taxi Drivers
,Miscellaneous Motor Vehicle Operators
53-3099,"Motor Vehicle Operators, All Other"
,Rail Transportation Workers
,Locomotive Engineers and Operators
53-4011,Locomotive Engineers
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
,Railroad Conductors and Yardmasters
53-4031,Railroad Conductors and Yardmasters
,Subway and Streetcar Operators
53-4041,Subway and Streetcar Operators
,Miscellaneous Rail Transportation Workers
53-4099,"Rail Transportation Workers, All Other"
,Water Transportation Workers
,Sailors and Marine Oilers
53-5011,Sailors and Marine Oilers
,Ship and Boat Captains and Operators
53-5021,"Captains, Mates, and Pilots of Water Vessels"
53-5022,Motorboat Operators
,Ship Engineers
53-5031,Ship Engineers
,Other Transportation Workers
,Bridge and Lock Tenders
53-6011,Bridge and Lock Tenders
,Parking Attendants
53-6021,Parking Attendants
,Transportation Service Attendants
53-6031,Automotive and Watercraft Service Attendants
53-6032,Aircraft Service Attendants
,Traffic Technicians
53-6041,Traffic Technicians
,Transportation Inspectors
53-6051,Transportation Inspectors
,Passenger Attendants
53-6061,Passenger Attendants
,Miscellaneous Transportation Workers
53-6099,"Transportation Workers, All Other"
,Material Moving Workers
,Conveyor Operators and Tenders
53-7011,Conveyor Operators and Tenders
,Crane and Tower Operators
53-7021,Crane and Tower Operators
,Dredge Operators
53-7031,Dredge Operators
,Hoist and Winch Operators
53-7041,Hoist and Winch Operators
,Industrial Truck and Tractor Operators
53-7051,Industrial Truck and Tractor Operators
,Laborers and Material Movers
53-7061,Cleaners of Vehicles and Equipment
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand"
53-7063,Machine Feeders and Offbearers
53-7064,"Packers and Packagers, Hand"
53-7065,Stockers and Order Fillers
,Pumping Station Operators
53-7071,Gas Compressor and Gas Pumping Station Operators
53-7072,"Pump Operators, Except Wellhead Pumpers"
53-7073,Wellhead Pumpers
,Refuse and Recyclable Material Collectors
53-7081,Refuse and Recyclable Material Collectors
,"Tank Car, Truck, and Ship Loaders"
53-7121,"Tank Car, Truck, and Ship Loaders"
,Miscellaneous Material Moving Workers
53-7199,"Material Moving Workers, All Other"
,Military Specific Occupations
,Military Officer Special and Tactical Operations Leaders
,Military Officer Special and Tactical Operations Leaders
55-1011,Air Crew Officers
55-1012,Aircraft Launch and Recovery Officers
55-1013,Armored Assault Vehicle Officers
55-1014,Artillery and Missile Officers
55-1015,Command and Control Center Officers
55-1016,Infantry Officers
55-1017,Special Forces Officers
55-1019,"Military Officer Special and Tactical Operations Leaders, All Other"
,First-Line Enlisted Military Supervisors
,First-Line Enlisted Military Supervisors
55-2011,First-Line Supervisors of Air Crew Members
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists
,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3011,Air Crew Members
55-3012,Aircraft Launch and Recovery Specialists
55-3013,Armored Assault Vehicle Crew Members
55-3014,Artillery and Missile Crew Members
55-3015,Command and Control Center Specialists
55-3016,Infantry
55-3018,Special Forces
55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
